Team,Expected23,Actual23,HalfTies23,Actual22,HalfTies22
ARI,8.5,4,4,11,11
ATL,4.5,7,7,7,7
BAL,10.5,10,10,8,8
BUF,11.5,13,13,11,11
CAR,6.5,7,7,5,5
CHI,5.5,3,3,6,6
CIN,9.5,12,12,10,10
CLE,8.5,7,7,8,8
DAL,9.5,12,12,12,12
DEN,9.5,5,5,7,7
DET,6.5,9,9,3,3.5
GB,11.5,8,8,13,13
HOU,4.5,3,3.5,4,4
IND,10.5,4,4.5,9,9
JAX,6.5,9,9,3,3
KC,10.5,14,14,12,12
LV,8.5,6,6,10,10
LAC,10.5,10,10,9,9
LAR,10.5,5,5,12,12
MIA,8.5,9,9,9,9
MIN,9.5,13,13,8,8
NE,8.5,8,8,10,10
NO,8.5,7,7,9,9
NYG,6.5,9,9.5,4,4
NYJ,6.5,7,7,4,4
PHI,9.5,14,14,9,9
PIT,7.5,9,9,9,9.5
SF,10.5,13,13,10,10
SEA,5.5,9,9,7,7
TB,11.5,8,8,13,13
TEN,9.5,7,7,12,12
WSH,7.5,8,8.5,7,7
